"Date","Samsung","Nokia","Unknown","Xiaomi","Micromax","Oppo","Lenovo","Mobicel","Motorola","Apple","Sony","BBK","HTC","Huawei","Realme","Vivo","Asus","Gionee","OnePlus","LG","Lava","Lyf","Spice","Google","Coolpad","Panasonic","LeEco","Reliance Digital","Tecno","Itel","RIM","Intex","Alcatel","Infinix","InFocus","Karbonn","Yu","Xolo","ZTE","Comio","Mobiistar","HP","Opp","Infinex","QMobile","Meizu","Other"
2018-07,23.81,2.34,9.76,19.18,3.3,7.07,5.03,5.83,3.82,2.87,0.69,2.84,0.86,2.08,0,0,1.01,1.45,0.33,0.42,1.28,0.85,0.1,0.13,0.59,0.6,0.44,0.25,0.41,0.66,0.03,0.37,0.03,0.21,0.27,0.28,0.15,0.18,0.05,0.16,0,0.01,0,0,0.06,0.02,0.16
2018-08,23.58,2.14,10.06,20.2,2.86,7.28,4.54,6.27,3.57,3.08,0.6,2.79,0.77,2.09,0,0,1.01,1.37,0.62,0.38,1.17,0.82,0.09,0.13,0.53,0.55,0.42,0.24,0.43,0.59,0.03,0.32,0.03,0.2,0.25,0.25,0.14,0.16,0.04,0.16,0,0.01,0,0,0.06,0.02,0.15
2018-09,24.27,2.01,8.11,20.44,2.74,7.79,4.53,6.69,3.58,2.96,0.57,2.74,0.74,2.48,0,0,1.08,1.33,0.89,0.39,1.17,0.78,0.09,0.12,0.53,0.53,0.41,0.23,0.41,0.57,0.03,0.33,0.03,0.22,0.25,0.23,0.14,0.15,0.04,0.15,0,0.01,0,0,0.06,0.02,0.16
2018-10,24.04,2.14,8.83,20.39,2.79,7.51,4.38,7.04,3.6,2.97,0.53,2.58,0.68,2.48,0,0,1.09,1.24,0.92,0.38,1.18,0.71,0.1,0.12,0.49,0.5,0.37,0.22,0.4,0.6,0.02,0.33,0.03,0.21,0.24,0.23,0.12,0.14,0.04,0.16,0,0.01,0,0,0.06,0.01,0.15
2018-11,24.02,2.08,9.05,20.5,2.76,7.88,4.2,8.21,3.41,2.91,0.43,2.28,0.61,2.23,0,0,0.97,1.14,0.67,0.35,1.27,0.64,0.11,0.11,0.44,0.46,0.27,0.2,0.44,0.65,0.02,0.33,0.03,0.19,0.21,0.24,0.11,0.13,0.03,0.17,0.01,0.01,0,0,0.05,0.01,0.13
2018-12,24.16,2.07,7.76,21.9,2.59,8.92,4,8.14,3.3,2.64,0.37,1.96,0.55,2.41,0,0,1.06,1.02,1.05,0.33,1.21,0.55,0.11,0.11,0.4,0.42,0.23,0.18,0.44,0.59,0.02,0.29,0.02,0.18,0.18,0.22,0.09,0.12,0.03,0.15,0.03,0,0,0,0.05,0.01,0.11
2019-01,24.44,2.14,8.53,21.43,2.53,9.07,3.69,8.42,3.08,2.74,0.34,1.85,0.52,2.32,0,0,0.99,0.96,1.09,0.31,1.23,0.5,0.11,0.11,0.36,0.39,0.2,0.17,0.45,0.6,0.02,0.28,0.02,0.17,0.16,0.21,0.09,0.11,0.02,0.16,0.04,0,0,0,0.05,0.01,0.1
2019-02,24.18,2.2,8.21,21.78,2.38,9.27,3.63,8.77,3.08,2.81,0.33,1.78,0.51,2.39,0,0,0.99,0.93,1.13,0.3,1.2,0.47,0.11,0.11,0.34,0.38,0.19,0.15,0.43,0.56,0.02,0.26,0.02,0.16,0.15,0.2,0.09,0.1,0.02,0.16,0.05,0.01,0,0,0.05,0.01,0.1
2019-03,23.86,2.21,7.24,21.78,2.19,9.65,3.49,8.18,3.11,2.81,0.41,2.15,0.49,2.74,0.11,0,1.34,1.03,1.32,0.31,1.21,0.52,0.1,0.12,0.35,0.41,0.28,0.16,0.42,0.53,0.02,0.25,0.02,0.2,0.18,0.18,0.1,0.1,0.03,0.15,0.08,0.01,0,0,0.07,0.01,0.12
2019-04,23.61,2.16,7.63,21.83,2.1,9.62,3.4,8.33,3.09,2.83,0.39,2.09,0.46,2.76,0.13,0,1.4,0.98,1.46,0.32,1.2,0.48,0.1,0.12,0.33,0.39,0.27,0.14,0.41,0.53,0.02,0.23,0.02,0.19,0.16,0.17,0.09,0.09,0.03,0.14,0.09,0.01,0,0,0.06,0.01,0.11
